id;created_at;updated_at;data_inicio;data_fim;perfil_id;tipo_capacidade_id
0a0c6d46-d779-11ec-a5bb-0050569c64a0;"2022-05-19 10:39:00";"2022-05-19 10:39:00";"2022-05-19 10:39:00";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;f865f94c-d773-11ec-a5bb-0050569c64a0
0a1601bc-d779-11ec-a5bb-0050569c64a0;"2022-05-19 10:39:00";"2022-05-19 10:39:00";"2022-05-19 10:39:00";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;f870468a-d773-11ec-a5bb-0050569c64a0
0a1f6da9-d779-11ec-a5bb-0050569c64a0;"2022-05-19 10:39:00";"2022-05-19 10:39:00";"2022-05-19 10:39:00";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;f87ac6fb-d773-11ec-a5bb-0050569c64a0
0a2a220f-d779-11ec-a5bb-0050569c64a0;"2022-05-19 10:39:00";"2022-05-19 10:39:00";"2022-05-19 10:39:00";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;f8842199-d773-11ec-a5bb-0050569c64a0
0a34220a-d779-11ec-a5bb-0050569c64a0;"2022-05-19 10:39:00";"2022-05-19 10:39:00";"2022-05-19 10:39:00";NULL;f212872c-bb60-11ec-a5bb-0050569c64a0;f865f94c-d773-11ec-a5bb-0050569c64a0
0a3db214-d779-11ec-a5bb-0050569c64a0;"2022-05-19 10:39:00";"2022-05-19 10:39:00";"2022-05-19 10:39:00";NULL;f212872c-bb60-11ec-a5bb-0050569c64a0;f870468a-d773-11ec-a5bb-0050569c64a0
0a4859a2-d779-11ec-a5bb-0050569c64a0;"2022-05-19 10:39:00";"2022-05-19 10:39:00";"2022-05-19 10:39:00";NULL;f212872c-bb60-11ec-a5bb-0050569c64a0;f87ac6fb-d773-11ec-a5bb-0050569c64a0
0a521644-d779-11ec-a5bb-0050569c64a0;"2022-05-19 10:39:00";"2022-05-19 10:39:00";"2022-05-19 10:39:00";NULL;f212872c-bb60-11ec-a5bb-0050569c64a0;f8842199-d773-11ec-a5bb-0050569c64a0
1c3aada6-cfb4-11ec-a5bb-0050569c64a0;"2022-05-09 13:21:41";"2022-05-09 13:21:41";"2022-05-09 13:21:41";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;c5fce3a5-cfb1-11ec-a5bb-0050569c64a0
1c49a385-cfb4-11ec-a5bb-0050569c64a0;"2022-05-09 13:21:41";"2022-05-09 13:21:41";"2022-05-09 13:21:41";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;c6070d0d-cfb1-11ec-a5bb-0050569c64a0
1c5213ff-cfb4-11ec-a5bb-0050569c64a0;"2022-05-09 13:21:41";"2022-05-09 13:21:41";"2022-05-09 13:21:41";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;c6104de4-cfb1-11ec-a5bb-0050569c64a0
1c5aa839-cfb4-11ec-a5bb-0050569c64a0;"2022-05-09 13:21:41";"2022-05-09 13:21:41";"2022-05-09 13:21:41";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;c6195904-cfb1-11ec-a5bb-0050569c64a0
1c631176-cfb4-11ec-a5bb-0050569c64a0;"2022-05-09 13:21:41";"2022-05-09 13:21:41";"2022-05-09 13:21:41";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;c622311a-cfb1-11ec-a5bb-0050569c64a0
1c6b7db9-cfb4-11ec-a5bb-0050569c64a0;"2022-05-09 13:21:41";"2022-05-09 13:21:41";"2022-05-09 13:21:41";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;c62b5769-cfb1-11ec-a5bb-0050569c64a0
1c746c0f-cfb4-11ec-a5bb-0050569c64a0;"2022-05-09 13:21:42";"2022-05-09 13:21:42";"2022-05-09 13:21:42";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;c6346130-cfb1-11ec-a5bb-0050569c64a0
1c7dc60a-cfb4-11ec-a5bb-0050569c64a0;"2022-05-09 13:21:42";"2022-05-09 13:21:42";"2022-05-09 13:21:42";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;c63cf23a-cfb1-11ec-a5bb-0050569c64a0
1f618b5f-ba96-11ec-a5bb-0050569c64a0;"2022-04-12 16:24:07";"2022-04-12 16:24:07";"2022-04-12 16:24:07";NULL;66399e46-c0a3-4db5-ba94-05ff517752f6;58ab2cd7-ba5e-11ec-a5bb-0050569c64a0
1f6ebb9b-ba96-11ec-a5bb-0050569c64a0;"2022-04-12 16:24:07";"2022-04-12 16:24:07";"2022-04-12 16:24:07";NULL;66399e46-c0a3-4db5-ba94-05ff517752f6;58b1f97f-ba5e-11ec-a5bb-0050569c64a0
1f7d03b5-ba96-11ec-a5bb-0050569c64a0;"2022-04-12 16:24:07";"2022-04-12 16:24:07";"2022-04-12 16:24:07";NULL;66399e46-c0a3-4db5-ba94-05ff517752f6;58b8b4f7-ba5e-11ec-a5bb-0050569c64a0
1f8a7160-ba96-11ec-a5bb-0050569c64a0;"2022-04-12 16:24:07";"2022-04-12 16:24:07";"2022-04-12 16:24:07";NULL;66399e46-c0a3-4db5-ba94-05ff517752f6;58bf66ce-ba5e-11ec-a5bb-0050569c64a0
1f976583-ba96-11ec-a5bb-0050569c64a0;"2022-04-12 16:24:07";"2022-04-12 16:24:07";"2022-04-12 16:24:07";NULL;66399e46-c0a3-4db5-ba94-05ff517752f6;58cca427-ba5e-11ec-a5bb-0050569c64a0
1fa4fcf0-ba96-11ec-a5bb-0050569c64a0;"2022-04-12 16:24:08";"2022-04-12 16:24:08";"2022-04-12 16:24:08";NULL;66399e46-c0a3-4db5-ba94-05ff517752f6;58d32fe4-ba5e-11ec-a5bb-0050569c64a0
1fb1e159-ba96-11ec-a5bb-0050569c64a0;"2022-04-12 16:24:08";"2022-04-12 16:24:08";"2022-04-12 16:24:08";NULL;66399e46-c0a3-4db5-ba94-05ff517752f6;58d9e224-ba5e-11ec-a5bb-0050569c64a0
1fc026c1-ba96-11ec-a5bb-0050569c64a0;"2022-04-12 16:24:08";"2022-04-12 16:24:08";"2022-04-12 16:24:08";NULL;66399e46-c0a3-4db5-ba94-05ff517752f6;594fffb9-ba5e-11ec-a5bb-0050569c64a0
1fce0f2f-ba96-11ec-a5bb-0050569c64a0;"2022-04-12 16:24:08";"2022-04-12 16:24:08";"2022-04-12 16:24:08";NULL;66399e46-c0a3-4db5-ba94-05ff517752f6;595f4580-ba5e-11ec-a5bb-0050569c64a0
1fdab554-ba96-11ec-a5bb-0050569c64a0;"2022-04-12 16:24:08";"2022-04-12 16:24:08";"2022-04-12 16:24:08";NULL;66399e46-c0a3-4db5-ba94-05ff517752f6;597b65e4-ba5e-11ec-a5bb-0050569c64a0
1fe78f0c-ba96-11ec-a5bb-0050569c64a0;"2022-04-12 16:24:08";"2022-04-12 16:24:08";"2022-04-12 16:24:08";NULL;66399e46-c0a3-4db5-ba94-05ff517752f6;5982006a-ba5e-11ec-a5bb-0050569c64a0
1ff4f9bc-ba96-11ec-a5bb-0050569c64a0;"2022-04-12 16:24:08";"2022-04-12 16:24:08";"2022-04-12 16:24:08";NULL;66399e46-c0a3-4db5-ba94-05ff517752f6;5996bf8f-ba5e-11ec-a5bb-0050569c64a0
200214c7-ba96-11ec-a5bb-0050569c64a0;"2022-04-12 16:24:08";"2022-04-12 16:24:08";"2022-04-12 16:24:08";NULL;66399e46-c0a3-4db5-ba94-05ff517752f6;59a42d8c-ba5e-11ec-a5bb-0050569c64a0
209d7a17-cbd0-11ec-a5bb-0050569c64a0;"2022-05-04 14:32:10";"2022-05-04 14:32:10";"2022-05-04 14:32:10";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;57aadcb5-ba5e-11ec-a5bb-0050569c64a0
20a8f2d5-cbd0-11ec-a5bb-0050569c64a0;"2022-05-04 14:32:10";"2022-05-04 14:32:10";"2022-05-04 14:32:10";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;57b2bae5-ba5e-11ec-a5bb-0050569c64a0
20b21e07-cbd0-11ec-a5bb-0050569c64a0;"2022-05-04 14:32:10";"2022-05-04 14:32:10";"2022-05-04 14:32:10";NULL;f219a1f5-bb60-11ec-a5bb-0050569c64a0;57b99633-ba5e-11ec-a5bb-0050569c64a0
