"id","codigo_ibge","nome","tipo","uf","timezone"
"070e7388-01a4-4071-8bae-243ee527a439","3115359",Catas Altas,MUNICIPIO,MG,-3
"07265f35-645a-42e8-936a-0d853ab335e9","2709004",Tanque D´arca,MUNICIPIO,AL,-3
"073632ba-671f-4578-857f-3078be209feb","4123006",Salto do Lontra,MUNICIPIO,PR,-3
"073ba1d3-613c-4f4b-af13-4ac867aa3427","3140209",Maripá de Minas,MUNICIPIO,MG,-3
"0757f92e-096c-43e7-b5bb-0a03ad2e3ba8","5005400",Maracaju,MUNICIPIO,MS,-4
"0758c65e-f384-4758-ad12-f1daf52c8493","4111902",Jaguapitã,MUNICIPIO,PR,-3
"076688c1-2714-46c8-b00b-40578fcfea91","4307450",Esperança do Sul,MUNICIPIO,RS,-3
"076fd05f-2f83-47b9-bb00-9e46e43e5054","3139003",Machado,MUNICIPIO,MG,-3
"07a1b03d-580a-42f3-888e-debd41dbdb9d","5107743",Santa Cruz do Xingu,MUNICIPIO,MT,-4
"07bc7f66-6f4d-42d3-8feb-358390c3a0ab","2512077",Poço de José de Moura,MUNICIPIO,PB,-3
"07c69ea3-323f-4b50-8e7c-89a8d31d886d","3201100",Bom Jesus do Norte,MUNICIPIO,ES,-3
"07cc27dd-cf05-4e54-b02b-16d6cf0fc5de","2206506",Monsenhor Hipólito,MUNICIPIO,PI,-3
"07f1c57e-7c86-412d-9c77-28f4b2622eb7","4319505",São Sebastião do Caí,MUNICIPIO,RS,-3
"07f2474d-4226-48aa-a4e1-242f08885a8e","3507902",Brotas,MUNICIPIO,SP,-3
"0800fce8-20f5-46be-af5d-1d6c6b7a1fd7","4307807",Estrela,MUNICIPIO,RS,-3
"08015b77-3875-4be7-bdd5-a291751593bf","3525102",Jardinópolis,MUNICIPIO,SP,-3
"080614a4-098a-4670-be2f-ad439fe7547c","4305850",Coqueiros do Sul,MUNICIPIO,RS,-3
"080ef991-1ef8-4d65-990c-c89aeb2023a6","3533106",Nova Guataporanga,MUNICIPIO,SP,-3
"081269f6-9888-4a47-a906-e1f484860091","2917201",Ituaçu,MUNICIPIO,BA,-3
"082d28d9-e032-4817-8603-b9aaa59cfba0","4316204",Rondinha,MUNICIPIO,RS,-3
"082f7391-ab07-404a-a008-6f2a8a7dd6cd","2314003",Várzea Alegre,MUNICIPIO,CE,-3
"0831ad7a-1c33-478e-bc60-c221b793dbaa","3204500",Santa Leopoldina,MUNICIPIO,ES,-3
"08332a09-d755-4a4d-bb20-3b650490406e","3150539",Pingo-d´água,MUNICIPIO,MG,-3
"083a856b-8ce2-41bd-be94-5a248231f5d8","2207801",Paulistana,MUNICIPIO,PI,-3
"083d4e0a-2758-491c-b968-773525d8eabd","4107546",Espigão Alto do Iguaçu,MUNICIPIO,PR,-3
"084770c8-64b3-44d5-a3f5-3250408f999b","2908903",Coração de Maria,MUNICIPIO,BA,-3
"08481205-d92d-4f72-9107-89e106632e9b","4314159",Paverama,MUNICIPIO,RS,-3
"08489aa6-2736-4005-ba68-9d4dee4887d1","1600055",Serra do Navio,MUNICIPIO,AP,-3
"084aec99-deb6-4ddb-b8f3-4b1d6716091c","5216452",Perolândia,MUNICIPIO,GO,-3
"087b48de-5437-461c-9a25-6b8f618c1609","2300903",Apuiarés,MUNICIPIO,CE,-3
"0888de40-4646-4e13-89bf-480dd90ca720","2307007",Jaguaruana,MUNICIPIO,CE,-3
"0889a9a2-1287-4c2d-a847-45928aa7459e","4106605",Cruzeiro do Oeste,MUNICIPIO,PR,-3
"0889e431-d666-4087-81ac-e7b5df11de1e","3164506",São Sebastião do Maranhão,MUNICIPIO,MG,-3
"088aa086-6ff9-4042-8edd-626d0ad4c2eb","2922854",Nova Redenção,MUNICIPIO,BA,-3
"088aa7e2-fbed-440e-a518-5de86b65a748","3524600",Jacupiranga,MUNICIPIO,SP,-3
"0897bd3d-8b20-4644-8f6f-842e6754bf31","3515400",Fartura,MUNICIPIO,SP,-3
"08a32cdf-1b76-4572-91f1-f3ba2abf6c9b","2102150",Brejo de Areia,MUNICIPIO,MA,-3
"08ae4d2f-843d-4d82-8543-bf8468848b30","4103222",Bom Sucesso do Sul,MUNICIPIO,PR,-3
"08c37f19-2620-4986-9438-ed3cf6e0b93c","3112406",Capetinga,MUNICIPIO,MG,-3
"08d46e9d-c9f9-4c62-99f2-93aaed09fd40","2604403",Chã de Alegria,MUNICIPIO,PE,-3
"08d64ac0-086e-407c-a690-4d0d654ceafd","2616001",Venturosa,MUNICIPIO,PE,-3
"08e2f61f-03a6-4608-ac0d-6bce81ace51c","4323804",Xangri-lá,MUNICIPIO,RS,-3
"08e6696d-bdc3-4c6d-8aa4-9735aad714da","5001102",Aquidauana,MUNICIPIO,MS,-4
"08e70d07-ec39-49c2-9744-3ef8d24ddce8","1702554",Augustinópolis,MUNICIPIO,TO,-3
"08f4fb46-eeda-4d09-8b0d-f666be67d0d2","4204301",Concórdia,MUNICIPIO,SC,-3
"09034855-a2a3-4f71-8e63-0beade68b514","3148202",Patrocínio do Muriaé,MUNICIPIO,MG,-3
"090808f5-17d7-4a7b-b03a-5669678c664b","3117876",Confins,MUNICIPIO,MG,-3
"090cf9d0-afb7-4c18-86b5-cbeebc24d3f6","2604502",Chã Grande,MUNICIPIO,PE,-3
"09198e26-50a0-4912-aa1e-fdc8cfaf8b59","3154309",Resplendor,MUNICIPIO,MG,-3
"09280ed2-44bf-42ae-8f25-7efe257f900f","3127404",Gonçalves,MUNICIPIO,MG,-3
"092a3fcc-41b2-4fc7-a737-16063bc26035","2208502",Porto,MUNICIPIO,PI,-3
"0938e1ac-6a66-410f-82db-8e661b6e3f67","3146503",Pains,MUNICIPIO,MG,-3
"0939ca97-b3b2-452e-9e2c-df8e371f342d","2615102",Terezinha,MUNICIPIO,PE,-3
"094fcd31-0b15-4d0b-8caa-d8c93da32575","3112802",Capitólio,MUNICIPIO,MG,-3
"0953b838-1deb-4944-b86b-b0de47a46335","3166006",Senhora de Oliveira,MUNICIPIO,MG,-3
"0964595e-c993-4896-b57f-41c56276113b","2310209",Paracuru,MUNICIPIO,CE,-3
"0966c84d-0edf-4512-8d51-1abe951af483","2908804",Contendas do Sincorá,MUNICIPIO,BA,-3
"096cfe7c-2aa9-40ed-aa03-296bce9f52ee","1506583",Santa Maria Das Barreiras,MUNICIPIO,PA,-3
"09759b19-b460-44f7-9f8a-8eaa9e6b971a","4213807",Praia Grande,MUNICIPIO,SC,-3
"098ffe92-fd8e-4c59-895b-cb1350fc02cb","2933158",Várzea Nova,MUNICIPIO,BA,-3
"09937ddb-f053-456a-99ab-7c9f2a14e559","4119103",Piên,MUNICIPIO,PR,-3
"0999a2f7-f1ba-4c15-882f-7c1e7291dd0a","3512704",Corumbataí,MUNICIPIO,SP,-3
"09b59021-4cb2-4156-bd70-e8cc121a51ec","3509205",Cajamar,MUNICIPIO,SP,-3
"09b94880-ad15-4f73-ad48-012817d85626","5220603",Silvânia,MUNICIPIO,GO,-3
"09c922c0-3f7d-4c09-8905-6327414317c8","2919702",Macarani,MUNICIPIO,BA,-3
"09cb39de-029d-422b-8e8f-bd2d5a1b45af","2804458",Nossa Senhora Aparecida,MUNICIPIO,SE,-3
"09d737e2-5a50-4b70-b890-7239d8667a4c","2805802",Riachão do Dantas,MUNICIPIO,SE,-3
"09e3663d-3732-427b-bdfd-dabed16e2bfb","4314753",Poço Das Antas,MUNICIPIO,RS,-3
"09ed57b5-5e19-444b-9733-cdac9c697289","2613107",São Caitano,MUNICIPIO,PE,-3
"09f33f9a-df60-4ddb-bcc6-dfce441c07c4","2310100",Palmácia,MUNICIPIO,CE,-3
"0a0ca4a8-3837-467d-8f91-6781c40fa4b9","2606200",Goiana,MUNICIPIO,PE,-3
"0a29aeb7-d5e7-4049-95d4-2bf2d3a524d9","3532827",Nova Campina,MUNICIPIO,SP,-3
"0a2a343c-d636-4c4d-9bbc-31b0e5656414","4205456",Forquilhinha,MUNICIPIO,SC,-3
"0a3cf850-ce6b-41bb-be68-dcbff1e6cb2f","4110300",Inajá,MUNICIPIO,PR,-3
"0a41547d-8f0d-47ad-a7ab-8a62875fdc09","3111705",Canaã,MUNICIPIO,MG,-3
"0a41e6bd-4920-4013-b305-a238c5a5551b","4321626",Travesseiro,MUNICIPIO,RS,-3
"0a59b0b5-063a-4e44-b8c5-57798f5ab206","3510104",Cândido Rodrigues,MUNICIPIO,SP,-3
"0a5de71a-d6de-4826-961e-1a123123940f","3116209",Chiador,MUNICIPIO,MG,-3
